Filename,Pitch
p226_001.wav,160.18365
p226_002.wav,167.9997
p226_003.wav,189.82652
p226_004.wav,207.2627
p226_005.wav,188.81067
p226_006.wav,173.479
p226_007.wav,168.05486
p226_008.wav,163.85721
p226_009.wav,182.25522
p226_010.wav,151.7362
p226_011.wav,177.98914
p226_012.wav,170.17372
p226_013.wav,169.21007
p226_014.wav,194.26178
p226_015.wav,180.62924
p226_016.wav,174.9074
p226_017.wav,172.70529
p226_018.wav,188.61804
p226_019.wav,184.5387
p226_020.wav,201.36224
p226_021.wav,187.58794
p226_022.wav,173.46579
p226_023.wav,199.9673
p226_024.wav,199.37714
p226_025.wav,197.36528
p226_026.wav,186.73624
p226_027.wav,189.20303
p226_028.wav,214.78717
p226_029.wav,161.88681
p226_030.wav,195.38293
p226_031.wav,189.83084
p226_032.wav,213.79504
p226_033.wav,186.54625
p226_034.wav,181.26823
p226_036.wav,163.06882
p226_037.wav,163.56015
p226_039.wav,160.73349
p226_040.wav,121.20533
p226_041.wav,145.70894
p226_042.wav,146.85538
p226_043.wav,186.87898
p226_044.wav,166.36856
p226_045.wav,182.62663
p226_046.wav,193.8385
p226_047.wav,191.34282
p226_048.wav,180.08566
p226_049.wav,166.52638
p226_050.wav,188.57794
p226_051.wav,158.96208
p226_052.wav,119.41011
p226_053.wav,150.07509
p226_054.wav,135.77696
p226_055.wav,163.83864
p226_056.wav,162.89923
p226_057.wav,159.10149
p226_058.wav,166.03944
p226_059.wav,148.45032
p226_060.wav,185.54024
p226_061.wav,171.07521
p226_062.wav,213.86456
p226_063.wav,179.06656
p226_064.wav,185.54242
p226_065.wav,183.04117
p226_066.wav,123.65187
p226_067.wav,169.93214
p226_068.wav,189.37564
p226_069.wav,178.99838
p226_070.wav,165.2939
p226_071.wav,161.61296
p226_072.wav,170.22205
p226_073.wav,197.26534
p226_074.wav,205.2428
p226_075.wav,154.81056
p226_076.wav,119.93768
p226_077.wav,145.55171
p226_078.wav,137.72664
p226_079.wav,139.133
p226_080.wav,169.02106
p226_082.wav,120.4006
p226_083.wav,104.18426
p226_084.wav,177.94106
p226_085.wav,180.59003
p226_086.wav,169.01389
p226_088.wav,208.7392
p226_089.wav,162.84651
p226_090.wav,185.01282
p226_091.wav,170.50061
p226_092.wav,164.75793
p226_093.wav,164.43742
p226_094.wav,164.31476
p226_095.wav,141.61899
p226_096.wav,133.89146
p226_097.wav,145.85338
p226_098.wav,132.0274
p226_099.wav,150.1174
p226_100.wav,154.57744
p226_101.wav,180.8462
p226_102.wav,179.8956
p226_103.wav,169.74863
p226_104.wav,181.10426
p226_105.wav,183.92563
p226_106.wav,155.69203
p226_107.wav,137.58939
p226_108.wav,152.64877
p226_109.wav,158.86801
p226_110.wav,201.21536
p226_111.wav,181.99579
p226_112.wav,171.99847
p226_113.wav,172.91498
p226_114.wav,186.63618
p226_115.wav,212.69919
p226_116.wav,208.77107
p226_117.wav,176.90935
p226_118.wav,165.24289
p226_119.wav,191.06537
p226_120.wav,167.06197
p226_121.wav,160.31808
p226_122.wav,187.26465
p226_124.wav,155.7802
p226_125.wav,127.12007
p226_126.wav,136.54817
p226_127.wav,174.29413
p226_128.wav,180.23819
p226_129.wav,179.81026
p226_130.wav,161.6832
p226_131.wav,177.77516
p226_132.wav,150.00386
p226_133.wav,186.8648
p226_134.wav,159.50876
p226_135.wav,170.53067
p226_136.wav,176.7546
p226_137.wav,148.66614
p226_138.wav,190.37646
p226_139.wav,152.28044
p226_140.wav,143.60391
p226_141.wav,146.62694
p226_142.wav,189.67635
p226_143.wav,187.32396
